docking_cost_a,docking_cost_b,roundtrip_start,roundtrip_return,passengers,itin_fare,itin_fare_avg,avg_occupancy_rate,occupancy_avg,roundtrip_count,ticket_revenue,baggage_revenue,total_revenue,distance,fomc&dio,roundtrip_start_airport_type,roundtrip_return_airport_type,docking_cost_total,delay_dep,early_arr,maintance,profit
10000,10000,JFK,LAX,5906,1522858,257.8493058,0.650072323,130.0144646,3158,105869232.4,14370498.78,120239731.2,2475,22720.5,large_airport,large_airport,63160000,4053225,2688075,69924020.5,50315710.66
10000,10000,JFK,SFO,3290,1120876,340.6917933,0.649853568,129.9707135,1860,82360717.17,8461093.45,90821810.62,2586,23739.48,large_airport,large_airport,37200000,4017300,1427775,42668814.48,48152996.14
10000,10000,EWR,SFO,2827,1208895,427.6246905,0.649905116,129.9810231,1212,67366710.86,5513795,72880505.86,2565,23546.7,large_airport,large_airport,24240000,3448350,669150,28381046.7,44499459.16
10000,10000,IAD,SFO,1122,608210,542.0766488,0.64140561,128.281122,742,51597344.95,3331460.739,54928805.69,2419,22206.42,large_airport,large_airport,14840000,1460400,242250,16564856.42,38363949.27
10000,10000,ATL,CLT,439,131951,300.571754,0.648866001,129.7732003,1535,59874453.19,6972065.185,66846518.37,226,2074.68,large_airport,large_airport,30700000,1382625,348375,32433074.68,34413443.69
10000,10000,DSM,ORD,143,57329,400.9020979,0.660408111,132.0816223,980,51892763.48,4530399.645,56423163.13,299,2744.82,large_airport,large_airport,19600000,2358825,184125,22145694.82,34277468.31
10000,10000,CLT,PHX,459,216889,472.5250545,0.660762626,132.1525251,711,44398664.57,3288615.588,47687280.16,1773,16276.14,large_airport,large_airport,14220000,690000,180150,15106426.14,32580854.02
10000,10000,CLT,ORF,114,49915,437.8508772,0.659307943,131.8615885,755,43590462.72,3484442.477,47074905.19,290,2662.2,large_airport,large_airport,15100000,586125,136050,15824837.2,31250067.99
10000,10000,CLT,DTW,440,166844,379.1909091,0.648390171,129.6780342,950,46714095.09,4311794.637,51025889.73,500,4590,large_airport,large_airport,19000000,849300,394125,20248015,30777874.73
10000,10000,IAH,LGA,1214,437243,360.1672158,0.652082374,130.4164749,1030,48380890.81,4701513.919,53082404.73,1416,12998.88,large_airport,large_airport,20600000,2184975,549600,23347573.88,29734830.85
10000,10000,IND,ORD,163,49421,303.196319,0.641855152,128.3710304,1397,54373508.58,6276701.533,60650210.12,177,1624.86,large_airport,large_airport,27940000,3046350,311550,31299524.86,29350685.26
10000,10000,DTW,IND,135,72022,533.4962963,0.64568873,129.137746,559,38512030.64,2526580,41038610.64,231,2120.58,large_airport,large_airport,11180000,676275,210450,12068845.58,28969765.06
10000,10000,CLT,RIC,125,51137,409.096,0.655368368,131.0736736,761,40806125.56,3491147.297,44297272.85,257,2359.26,large_airport,large_airport,15220000,552600,156975,15931934.26,28365338.59
10000,10000,BOS,SFO,2092,703746,336.3986616,0.652819149,130.5638298,1128,49543449.28,5154660,54698109.28,2704,24822.72,large_airport,large_airport,22560000,3485100,786150,26856072.72,27842036.56
10000,5000,ATL,XNA,176,93412,530.75,0.651631579,130.3263158,475,32856078.75,2166675,35022753.75,589,5407.02,large_airport,medium_airport,7125000,569475,86100,7785982.02,27236771.73
10000,10000,EWR,MSP,573,247604,432.1186736,0.652652731,130.5305461,731,41231825.81,3339624.023,44571449.83,1008,9253.44,large_airport,large_airport,14620000,2224350,506175,17359778.44,27211671.39
10000,10000,DCA,IAH,592,252153,425.9341216,0.657527561,131.5055123,664,37192422.75,3056188.105,40248610.85,1208,11089.44,large_airport,large_airport,13280000,823125,237150,14351364.44,25897246.41
10000,10000,IAH,MSP,681,250498,367.8384728,0.653362358,130.6724717,847,40712208.98,3873785.424,44585994.4,1034,9492.12,large_airport,large_airport,16940000,1270200,470850,18690542.12,25895452.28
10000,5000,DFW,XNA,207,71998,347.8164251,0.653212517,130.6425033,757,34397783.61,3461373.125,37859156.73,280,2570.4,large_airport,medium_airport,11355000,549975,70200,11977745.4,25881411.33
10000,10000,DCA,EWR,146,69534,476.260274,0.640013013,128.0026026,607,37004270.64,2719415.293,39723685.94,199,1826.82,large_airport,large_airport,12140000,1583175,213000,13938001.82,25785684.12
10000,10000,ATL,SFO,1418,544516,384.0028209,0.652934783,130.5869565,782,39213984.06,3574165,42788149.06,2139,19636.02,large_airport,large_airport,15640000,1502250,328500,17490386.02,25297763.04
10000,10000,CLT,IND,224,89295,398.6383929,0.649777937,129.9555874,698,36160089.98,3174815,39334904.98,427,3919.86,large_airport,large_airport,13960000,509550,109500,14582969.86,24751935.12
10000,10000,IAH,SFO,826,313321,379.3232446,0.645465261,129.0930521,803,39321300.29,3628160.23,42949460.52,1635,15009.3,large_airport,large_airport,16060000,2045025,178200,18298234.3,24651226.22
5000,10000,MDT,ORD,177,79888,451.3446328,0.645032268,129.0064536,552,32140956.47,2492404.684,34633361.16,594,5452.92,medium_airport,large_airport,8280000,1611525,128700,10025677.92,24607683.24
10000,10000,ORD,STL,386,117555,304.5466321,0.647528003,129.5056006,1167,46027057.08,5289656.255,51316713.33,258,2368.44,large_airport,large_airport,23340000,3368400,168075,26878843.44,24437869.89
10000,10000,LGA,PIT,591,184312,311.8646362,0.653759203,130.7518406,1042,42489503.94,4768519.625,47258023.57,335,3075.3,large_airport,large_airport,20840000,2123700,569025,23535800.3,23722223.27
10000,10000,CLT,MEM,180,81038,450.2111111,0.649718998,129.9437995,559,32702697.58,2542350.437,35245048.02,511,4690.98,large_airport,large_airport,11180000,395100,73050,11652840.98,23592207.04
10000,5000,ORD,XNA,193,83301,431.611399,0.648466228,129.6932457,528,29555899.93,2396731.18,31952631.11,522,4791.96,large_airport,medium_airport,7920000,834600,173550,8932941.96,23019689.15
10000,10000,CLT,JAX,191,73312,383.8324607,0.653535851,130.7071703,679,34065195.61,3106255.902,37171451.51,328,3011.04,large_airport,large_airport,13580000,545250,77850,14206111.04,22965340.47
10000,10000,IAH,OKC,279,109296,391.7419355,0.645009624,129.0019249,681,34414650.81,3074760.88,37489411.69,395,3626.1,large_airport,large_airport,13620000,962625,78000,14664251.1,22825160.59
10000,5000,ATL,BTR,143,62135,434.5104895,0.650095526,130.0191052,510,28812279.17,2320841.027,31133120.2,448,4112.64,large_airport,medium_airport,7650000,570525,143325,8367962.64,22765157.56
10000,10000,DCA,ORD,1400,321202,229.43,0.6479212,129.5842401,1847,54912256.04,8376973.201,63289229.24,612,5618.16,large_airport,large_airport,36940000,3050700,617850,40614168.16,22675061.08
10000,10000,MCI,ORD,430,137246,319.1767442,0.650146051,130.0292102,925,38389627.46,4209695.68,42599323.14,403,3699.54,large_airport,large_airport,18500000,1968300,191475,20663474.54,21935848.6
10000,10000,ORD,SLC,815,280394,344.0417178,0.647355713,129.4711425,849,37817409.66,3847235,41664644.66,1250,11475,large_airport,large_airport,16980000,2498175,390525,19880175,21784469.66
10000,10000,SFO,SLC,794,263369,331.6989924,0.64502595,129.00519,911,38982502.19,4113330.482,43095832.67,599,5498.82,large_airport,large_airport,18220000,2801100,313500,21340098.82,21755733.85
10000,10000,ATL,LAX,2905,694026,238.907401,0.649115899,129.8231798,1531,47485065,6956575.09,54441640.09,1947,17873.46,large_airport,large_airport,30620000,1793625,503775,32935273.46,21506366.63
10000,10000,BNA,ORD,548,154543,282.0127737,0.653470639,130.6941279,1157,42644027.43,5292458.708,47936486.14,409,3754.62,large_airport,large_airport,23140000,3365400,310275,26819429.62,21117056.52
10000,10000,ICT,ORD,110,46842,425.8363636,0.655820829,131.1641657,564,31501921.86,2589180.632,34091102.49,588,5397.84,large_airport,large_airport,11280000,1614075,212775,13112247.84,20978854.65
10000,5000,IAH,MAF,388,144591,372.6572165,0.640783881,128.1567762,572,27317889.16,2565698.659,29883587.81,429,3938.22,large_airport,medium_airport,8580000,567375,54225,9205538.22,20678049.59
5000,10000,ELP,IAH,130,54217,417.0538462,0.659869776,131.9739551,474,26089076.41,2189447.916,28278524.32,667,6123.06,medium_airport,large_airport,7110000,525900,57075,7699098.06,20579426.26
10000,10000,ATL,SLC,877,304494,347.1995439,0.65392955,130.78591,705,32013209.86,3227142.33,35240352.19,1590,14596.2,large_airport,large_airport,14100000,509700,304725,14929021.2,20311330.99
10000,10000,ORD,RIC,312,120701,386.8621795,0.65001277,130.0025541,632,31785221.13,2875656.496,34660877.63,642,5893.56,large_airport,large_airport,12640000,1581750,177075,14404718.56,20256159.07
10000,10000,DTW,EWR,661,209719,317.2753404,0.639986231,127.9972461,932,37848864.69,4175270.169,42024134.86,488,4479.84,large_airport,large_airport,18640000,2655300,474375,21774154.84,20249980.02
10000,10000,JFK,SLC,1046,404553,386.7619503,0.650869919,130.1739837,615,30963001.45,2801995,33764996.45,1990,18268.2,large_airport,large_airport,12300000,743475,502950,13564693.2,20200303.25
10000,10000,ATL,SAV,119,38331,322.1092437,0.656488947,131.2977893,769,32522726.12,3533880,36056606.12,214,1964.52,large_airport,large_airport,15380000,425025,81600,15888589.52,20168016.6
10000,10000,CMH,ORD,513,131525,256.3840156,0.649498319,129.8996638,1256,41830071.97,5710389.221,47540461.19,296,2717.28,large_airport,large_airport,25120000,2250825,275175,27648717.28,19891743.91
10000,10000,ORD,PIT,428,132322,309.1635514,0.653862791,130.7725582,852,34446452.47,3899637.687,38346090.16,413,3791.34,large_airport,large_airport,17040000,1444125,256950,18744866.34,19601223.82
10000,10000,IAD,LAX,1288,407720,316.552795,0.650860396,130.1720791,802,33047481.06,3653930.262,36701411.32,2288,21003.84,large_airport,large_airport,16040000,617400,477000,17155403.84,19546007.48
10000,10000,CLT,LAX,642,260235,405.3504673,0.655633147,131.1266294,537,28542753.15,2464525,31007278.15,2125,19507.5,large_airport,large_airport,10740000,483975,260175,11503657.5,19503620.65
10000,10000,DTW,PIT,136,69587,511.6691176,0.652824865,130.564973,397,26522007.61,1814200.299,28336207.91,201,1845.18,large_airport,large_airport,7940000,669075,271500,8882420.18,19453787.73
10000,10000,CLE,EWR,253,112822,445.9367589,0.650939376,130.1878752,490,28447223.95,2232722.059,30679946.01,404,3708.72,large_airport,large_airport,9800000,1418775,128625,11351108.72,19328837.29
10000,10000,ATL,SEA,869,319331,367.4695052,0.651195827,130.2391653,623,29816108.18,2839865,32655973.18,2182,20030.76,large_airport,large_airport,12460000,473250,431100,13384380.76,19271592.42
10000,10000,CLT,CMH,162,57681,356.0555556,0.644111533,128.8223065,649,29768265.74,2926198.692,32694464.44,347,3185.46,large_airport,large_airport,12980000,714000,42375,13739560.46,18954903.98
5000,10000,ALB,ORD,136,55890,410.9558824,0.638182243,127.6364486,478,25072509.8,2135357.786,27207867.59,723,6637.14,medium_airport,large_airport,7170000,1121325,144375,8442337.14,18765530.45
10000,10000,CLT,DFW,907,265010,292.1830209,0.646232627,129.2465254,893,33722930.73,4039600.151,37762530.88,936,8592.48,large_airport,large_airport,17860000,1029375,105600,19003567.48,18758963.4
10000,10000,ORD,ROC,144,51621,358.4791667,0.655819078,131.1638155,630,29622282.03,2892162.133,32514444.17,528,4847.04,large_airport,large_airport,12600000,1265325,161100,14031272.04,18483172.13
10000,10000,CLT,PHL,588,179291,304.9166667,0.649818022,129.9636043,797,31583571,3625334.742,35208905.74,449,4121.82,large_airport,large_airport,15940000,740400,180750,16865271.82,18343633.92
5000,10000,ASE,ORD,117,61002,521.3846154,0.639461197,127.8922394,372,24805349.12,1665156.957,26470506.08,1013,9299.34,medium_airport,large_airport,5580000,2527650,119025,8235974.34,18234531.74
10000,10000,LAX,MIA,1229,414444,337.2205045,0.652325559,130.4651117,679,29872951.82,3100503.38,32973455.2,2342,21499.56,large_airport,large_airport,13580000,986700,204750,14792949.56,18180505.64
10000,10000,IAH,TUL,290,99901,344.4862069,0.651052411,130.2104822,657,29470204.83,2994190.038,32464394.86,429,3938.22,large_airport,large_airport,13140000,1038225,115875,14298038.22,18166356.64
10000,10000,ORD,SYR,160,56574,353.5875,0.654026648,130.8053295,633,29276964.94,2897992.075,32174957.02,607,5572.26,large_airport,large_airport,12660000,1193850,222600,14082022.26,18092934.76
10000,10000,DFW,JAN,130,54180,416.7692308,0.651977226,130.3954451,483,26248542.92,2204335,28452877.92,408,3745.44,large_airport,large_airport,9660000,771075,26625,10461445.44,17991432.48
10000,10000,ATL,GSO,239,80028,334.8451883,0.647444148,129.4888297,657,28486673.49,2977595.638,31464269.13,306,2809.08,large_airport,large_airport,13140000,333525,150600,13626934.08,17837335.05
10000,5000,ATL,HPN,307,119018,387.6807818,0.661781751,132.3563501,456,23398278.06,2112407.348,25510685.4,780,7160.4,large_airport,medium_airport,6840000,686775,165450,7699385.4,17811300
10000,10000,EWR,IAD,128,53998,421.859375,0.660670489,132.1340979,492,27425067.9,2275349.165,29700417.07,212,1946.16,large_airport,large_airport,9840000,1971525,141675,11955146.16,17745270.91
10000,10000,MSP,OMA,160,67712,423.2,0.653147752,130.6295503,467,25816892.8,2135140,27952032.8,282,2588.76,large_airport,large_airport,9340000,966225,185700,10494513.76,17457519.04
10000,10000,HNL,LAX,2386,559006,234.285834,0.650957165,130.1914331,1362,41543735.56,6206225.615,47749961.17,2556,23464.08,large_airport,large_airport,27240000,2225175,889200,30377839.08,17372122.09
10000,10000,PHL,PIT,362,154237,426.0690608,0.633011709,126.6023418,467,25190606.18,2069315.277,27259921.46,268,2460.24,large_airport,large_airport,9340000,374700,177000,9894160.24,17365761.22
10000,10000,LGA,RIC,330,108743,329.5242424,0.649862237,129.9724474,715,30622786.66,3252560.495,33875347.15,292,2680.56,large_airport,large_airport,14300000,1789275,424500,16516455.56,17358891.59
10000,10000,BDL,ORD,322,118968,369.4658385,0.651485616,130.2971233,561,27006728.45,2558384.016,29565112.46,783,7187.94,large_airport,large_airport,11220000,821925,190350,12239462.94,17325649.52
10000,5000,LAX,OGG,1015,287122,282.8788177,0.648290084,129.6580168,708,25967674.6,3212925.656,29180600.26,2486,22821.48,large_airport,medium_airport,10620000,847650,569625,12060096.48,17120503.78
10000,10000,ATL,LIT,163,61688,378.4539877,0.658962451,131.7924901,506,25237961.08,2334045,27572006.08,453,4158.54,large_airport,large_airport,10120000,274050,107475,10505683.54,17066322.54
10000,10000,DTW,PHL,584,173657,297.3578767,0.641838775,128.367755,800,30536930.45,3594297.139,34131227.59,453,4158.54,large_airport,large_airport,16000000,732375,354750,17091283.54,17039944.05
10000,10000,BDL,MSP,208,121234,582.8557692,0.642368771,128.4737542,300,22464500.64,1348974.419,23813475.06,1050,9639,large_airport,large_airport,6000000,587700,257250,6854589,16958886.06
10000,10000,IAH,LIT,115,45994,399.9478261,0.652629938,130.5259875,481,25109924.37,2197405,27307329.37,374,3433.32,large_airport,large_airport,9620000,717000,89625,10430058.32,16877271.05
10000,10000,CLT,PIT,288,90748,315.0972222,0.642114949,128.4229897,726,29378118.04,3263228.169,32641346.21,366,3359.88,large_airport,large_airport,14520000,1160475,139500,15823334.88,16818011.33
10000,10000,CLT,SDF,117,40478,345.965812,0.648971215,129.7942429,600,26942622.39,2725679.101,29668301.49,335,3075.3,large_airport,large_airport,12000000,805500,119175,12927750.3,16740551.19
10000,10000,CLT,STL,271,103398,381.5424354,0.644593023,128.9186047,516,25380965.89,2328270,27709235.89,575,5278.5,large_airport,large_airport,10320000,626325,68925,11020528.5,16688707.39
10000,10000,BHM,CLT,137,47298,345.2408759,0.656004506,131.2009013,582,26362221.99,2672562.358,29034784.35,350,3213,large_airport,large_airport,11640000,643500,97875,12384588,16650196.35
10000,10000,GSO,ORD,124,52040,419.6774194,0.652649176,130.5298351,453,24815532.23,2069550.536,26885082.77,589,5407.02,large_airport,large_airport,9060000,1002075,179775,10247257.02,16637825.75
10000,10000,ATL,ROA,131,58330,445.2671756,0.641761928,128.3523857,411,23489103.84,1846349.068,25335452.91,357,3277.26,large_airport,large_airport,8220000,485925,71550,8780752.26,16554700.65
5000,10000,BTR,IAH,143,46488,325.0909091,0.648534631,129.7069261,545,22980765.67,2474159.615,25454925.29,253,2322.54,medium_airport,large_airport,8175000,567750,169725,8914797.54,16540127.75
10000,10000,BNA,IAH,265,107395,405.2641509,0.644224278,128.8448556,479,25011560.28,2160084.004,27171644.29,657,6031.26,large_airport,large_airport,9580000,987675,74400,10648106.26,16523538.03
10000,10000,CLE,CLT,215,72727,338.2651163,0.649283058,129.8566116,598,26267725.18,2717898.881,28985624.06,430,3947.4,large_airport,large_airport,11960000,438525,134775,12537247.4,16448376.66
10000,10000,CLE,IAH,295,133758,453.4169492,0.64188537,128.3770739,403,23457961.5,1810758.627,25268720.13,1091,10015.38,large_airport,large_airport,8060000,674475,143700,8888190.38,16380529.75
10000,10000,ANC,SEA,561,125640,223.9572193,0.652622589,130.5245178,1295,37855320.92,5916023.769,43771344.69,1448,13292.64,large_airport,large_airport,25900000,933150,608250,27454692.64,16316652.05
10000,10000,DTW,IAH,780,212706,272.7,0.650806456,130.1612912,918,32584395.4,4182082.285,36766477.69,1075,9868.5,large_airport,large_airport,18360000,1476525,624450,20470843.5,16295634.19
10000,10000,DEN,EWR,922,289999,314.532538,0.653304992,130.6609984,709,29137869.03,3242352.676,32380221.71,1605,14733.9,large_airport,large_airport,14180000,1697175,221625,16113533.9,16266687.81
10000,10000,CLT,SFO,444,218938,493.1036036,0.641446951,128.2893901,358,22647065.89,1607466.058,24254531.95,2296,21077.28,large_airport,large_airport,7160000,709125,149625,8039827.28,16214704.67
10000,10000,IAH,SLC,738,233862,316.8861789,0.648840473,129.7680945,677,27839401.47,3074855,30914256.47,1195,10970.1,large_airport,large_airport,13540000,993375,223725,14768070.1,16146186.37
10000,10000,CLT,PBI,161,58724,364.7453416,0.660009881,132.0019763,506,24362435.6,2337755,26700190.6,590,5416.2,large_airport,large_airport,10120000,453825,42450,10621691.2,16078499.4
10000,10000,OMA,ORD,246,74566,303.1138211,0.646339115,129.2678231,756,29622245.03,3420426.598,33042671.63,416,3818.88,large_airport,large_airport,15120000,1715325,156450,16995593.88,16047077.75
10000,10000,EWR,IND,372,143927,386.9005376,0.654905338,130.9810677,496,25135616.17,2273831.335,27409447.5,645,5921.1,large_airport,large_airport,9920000,1301700,150825,11378446.1,16031001.4
10000,10000,LGA,MSP,844,264212,313.0473934,0.653725837,130.7451674,703,28773392,3216984.844,31990376.84,1020,9363.6,large_airport,large_airport,14060000,1386150,508950,15964463.6,16025913.24
10000,10000,CVG,MSP,204,90363,442.9558824,0.641422168,128.2844336,409,23241156.89,1836391.667,25077548.55,596,5471.28,large_airport,large_airport,8180000,594450,298200,9078121.28,15999427.27
10000,10000,ORD,SDF,143,42392,296.4475524,0.645119318,129.0238636,850,32511487.28,3838459.941,36349947.22,286,2625.48,large_airport,large_airport,17000000,3233550,198300,20434475.48,15915471.74
10000,10000,IAH,MCI,226,95312,421.7345133,0.651250544,130.2501087,421,23125936.77,1919235.352,25045172.13,643,5902.74,large_airport,large_airport,8420000,639300,104850,9170052.74,15875119.39
10000,10000,CLE,ORD,581,140411,241.6712565,0.648513435,129.7026871,1184,37112967.04,5374879.353,42487846.4,315.1693345,2893.25449,large_airport,large_airport,23680000,2588400,357525,26628818.25,15859028.14
10000,5000,DFW,MFE,200,55511,277.555,0.64853192,129.7063839,657,23652430.59,2982598.298,26635028.89,469,4305.42,large_airport,medium_airport,9855000,820650,99675,10779630.42,15855398.47
10000,10000,DTW,MSN,120,54991,458.2583333,0.638858889,127.7717778,392,22952572.92,1753028.791,24705601.71,311,2854.98,large_airport,large_airport,7840000,989400,153300,8985554.98,15720046.73
10000,10000,ORD,TYS,153,57739,377.379085,0.647660194,129.5320388,515,25174581.38,2334815,27509396.38,475,4360.5,large_airport,large_airport,10300000,1359375,126375,11790110.5,15719285.88
10000,10000,IAH,PHL,613,220775,360.1549755,0.653017939,130.6035878,520,24459516.62,2376985.298,26836501.92,1325,12163.5,large_airport,large_airport,10400000,484350,283575,11180088.5,15656413.42
10000,10000,GSP,ORD,130,49874,383.6461538,0.657068365,131.413673,472,23796517.3,2170953.878,25967471.18,577,5296.86,large_airport,large_airport,9440000,706350,190575,10342221.86,15625249.32
10000,10000,CLE,LGA,545,134060,245.9816514,0.653394489,130.6788977,1138,36580567.39,5204940.496,41785507.88,419,3846.42,large_airport,large_airport,22760000,2787600,642450,26193896.42,15591611.46
5000,10000,BTR,DFW,142,46702,328.8873239,0.647348568,129.4697137,513,21844026.15,2324628.709,24168654.86,383,3515.94,medium_airport,large_airport,7695000,979575,44775,8722865.94,15445788.92
10000,10000,JFK,LAS,1802,492410,273.2574917,0.646711321,129.3422642,871,30784399.88,3942998.924,34727398.8,2248,20636.64,large_airport,large_airport,17420000,1094850,770100,19305586.64,15421812.16
10000,10000,EWR,PIT,412,137593,333.9635922,0.644771024,128.9542048,625,26916255.91,2820873.23,29737129.14,319,2928.42,large_airport,large_airport,12500000,1596450,248175,14347553.42,15389575.72
10000,10000,DTW,MKE,218,86992,399.0458716,0.651034011,130.2068022,452,23485236.07,2059871.611,25545107.68,237,2175.66,large_airport,large_airport,9040000,1024350,122625,10189150.66,15355957.02
5000,10000,ASE,LAX,259,105299,406.5598456,0.640229154,128.0458308,402,20927433.86,1801604.839,22729038.7,737,6765.66,medium_airport,large_airport,6030000,1443225,235800,7715790.66,15013248.04
10000,10000,DAY,ORD,123,34699,282.1056911,0.647924642,129.5849284,791,28916306.8,3587558.742,32503865.55,240,2203.2,large_airport,large_airport,15820000,1324950,361875,17509028.2,14994837.35
10000,10000,MCI,MSP,399,132154,331.2130326,0.645992296,129.1984592,584,24990652.67,2640816.506,27631469.17,393,3607.74,large_airport,large_airport,11680000,853500,120975,12658082.74,14973386.43
10000,10000,ORD,SAT,422,154224,365.4597156,0.64204707,128.409414,508,23839661.71,2283119.381,26122781.09,1041,9556.38,large_airport,large_airport,10160000,907650,231225,11308431.38,14814349.71
10000,10000,IAH,IND,201,87307,434.3631841,0.659340044,131.8680088,362,20734856.16,1670767.671,22405623.83,844,7747.92,large_airport,large_airport,7240000,372675,93600,7714022.92,14691600.91
10000,10000,MEM,ORD,251,86203,343.438247,0.649544953,129.9089906,569,25386342.41,2587137.548,27973479.95,491,4507.38,large_airport,large_airport,11380000,1720950,179625,13285082.38,14688397.57
10000,10000,MSP,ORD,1361,275981,202.7781043,0.658572579,131.7145159,1719,45912461.3,7924603.847,53837065.15,334,3066.12,large_airport,large_airport,34380000,4337625,439725,39160416.12,14676649.03
10000,10000,IAD,IAH,244,107159,439.1762295,0.644485051,128.8970102,365,20662103.57,1646659.305,22308762.87,1190,10924.2,large_airport,large_airport,7300000,282750,78600,7672274.2,14636488.67
10000,10000,DCA,HSV,193,95765,496.1917098,0.658175639,131.6351278,302,19725510.25,1391383.3,21116893.55,613,5627.34,large_airport,large_airport,6040000,349425,98025,6493077.34,14623816.21
5000,10000,GRR,MSP,215,88921,413.5860465,0.658333333,131.6666667,348,18950512.65,1603700,20554212.65,408,3745.44,medium_airport,large_airport,5220000,577275,147900,5948920.44,14605292.21
10000,10000,EWR,LAX,2955,711801,240.880203,0.653539268,130.7078536,1056,33248090.63,4830962.268,38079052.9,2454,22527.72,large_airport,large_airport,21120000,1580250,765825,23488602.72,14590450.18
10000,5000,LAX,LIH,498,184298,370.0763052,0.657524876,131.5049751,402,19564083.88,1850275,21414358.88,2615,24005.7,large_airport,medium_airport,6030000,509850,269100,6832955.7,14581403.18
10000,10000,DTW,SDF,118,53507,453.4491525,0.653288925,130.657785,349,20677084.99,1595984.843,22273069.83,306,2809.08,large_airport,large_airport,6980000,542400,188250,7713459.08,14559610.75
10000,10000,DFW,HNL,264,204799,775.7537879,0.639138889,127.8277778,180,17849318.91,805315,18654633.91,3784,34737.12,large_airport,large_airport,3600000,231225,237600,4103562.12,14551071.79
10000,10000,IAH,PIT,378,145296,384.3809524,0.649328774,129.8657548,436,21764214.22,1981751.419,23745965.64,1117,10254.06,large_airport,large_airport,8720000,254175,221850,9206279.06,14539686.58
10000,10000,ATL,TUL,202,81140,401.6831683,0.66475641,132.9512821,390,20827673.96,1814785,22642458.96,674,6187.32,large_airport,large_airport,7800000,239850,84900,8130937.32,14511521.64
